chname,ename,gbcode,a100009_10,a100010_10,a100003_10,a100004_10,a100011_10,a100007_10,a100008_10,a100006_10,a100005_10,a100002_10,a100001_10
ׯֵ,BaLiZhuangJieDao,110105015,85458,14707,55050,41734,55348,50893,7377,47784,98677,52492,107542
˫ֵ,ShuangJingJieDao,110105016,79947,10775,49476,46265,41721,47551,6176,44894,92445,47422,96898
ɽֵ,JinSongJieDao,110105017,85592,14045,54167,40837,48402,49231,7346,46096,95327,52816,106983
˼԰ֵ,PanJiaYuanJieDao,110105018,89459,16715,57524,44216,59066,54167,6941,51719,105886,55591,113115
ͷֵ,FaTouJieDao,110105019,45406,5287,26800,20623,19204,25147,4179,25232,50379,28072,54872
ĥ´,NanMoFangDiQuBanShiChu,110105021,112623,7594,62735,45514,37768,53426,9627,52048,105474,67109,129844
߱´,GaoBeiDianDiQuBanShiChu,110105022,102226,7160,56824,46956,32437,50215,8708,50480,100695,61270,118094
̨´,JiangTaiDiQuBanShiChu,110105023,63546,3759,33224,33483,15855,29623,4036,32090,61713,38117,71341
̫�´,TaiYangGongDiQuBanShiChu,110105024,59907,5597,34148,27489,24155,30492,4863,30231,60723,36219,70367
ͽֵ,DaTunJieDao,110105025,119390,11463,72674,45561,48808,54681,10580,51195,105876,68759,141433
ֵ,WangJingJieDao,110105026,142574,12004,85312,55590,56849,66678,13589,62986,129664,82855,168167
Сŵ´,XiaoHongMenDiQuBanShiChu,110105027,49973,2668,26714,22374,20337,25235,5110,27066,52301,31037,57751
ʮ´,ShiBaLiDianDiQuBanShiChu,110105028,176808,5226,86591,72704,30056,74942,18850,85038,159980,114293,200884
ƽ´,PingFangDiQuBanShiChu,110105029,102641,4581,56515,49757,23497,53491,13383,57785,111276,64090,120605
´,DongFengDiQuBanShiChu,110105030,75144,5059,40714,37947,21762,39395,6322,42050,81445,45811,86525
˴ֵ,AoYunCunJieDao,110105031,86331,9382,52107,37846,32753,45561,9550,43590,89151,53156,105263
Ӫ´,LaiGuangYingDiQuBanShiChu,110105032,104460,6635,60156,44272,29605,52905,12570,51799,104704,63509,123665
Ӫ´,ChangYingDiQuBanShiChu,110105033,40043,2984,24664,19485,14921,23281,5443,22540,45821,23806,48470
䷿´,SanJianFangDiQuBanShiChu,110105034,109819,8131,64667,44212,48211,48128,8233,49277,97405,61516,126183
ׯ´,GuanZhuangDiQuBanShiChu,110105035,87861,7316,50297,40869,35371,47993,10230,49255,97248,55110,105407
յ´,JinZhanDiQuBanShiChu,110105036,50852,2086,23711,20215,16627,20528,4680,24378,44906,33907,57618
ӵ´,SunHeDiQuBanShiChu,110105037,21094,1135,9692,5651,9656,7748,1647,7982,15730,14184,23876
޸ׯ´,CuiGeZhuangDiQuBanShiChu,110105038,91623,2654,45166,49895,16965,42063,7719,50512,92575,56830,101996
ӵ´,DongBaDiQuBanShiChu,110105039,75398,4369,40068,32955,24217,36933,8774,40383,77316,48473,88541
ׯ´,HeiZhuangHuDiQuBanShiChu,110105040,49662,3274,24805,18500,16587,20271,4321,22169,42440,32452,57257
ׯ´,DouGeZhuangDiQuBanShiChu,110105041,27262,1749,14744,10582,8693,13428,3524,13167,26595,17791,32535
Ӫ´,WangSiYingDiQuBanShiChu,110105042,75672,2125,36532,31933,16187,27905,6597,33443,61348,47862,84394
׶ֵ,ShouDuJiChangJieDao,110105400,16957,2453,10479,7790,10922,8536,1102,8241,16777,10033,20512
ֵ,DongHuJieDao,110105501,51422,5512,32793,23282,22642,29981,7140,28063,58044,31281,64074
ҰŽֵ,YouAnMenJieDao,110106001,68636,9540,42718,32202,35146,38907,5760,37610,76517,41218,83936
̫ƽŽֵ,TaiPingQiaoJieDao,110106002,52955,5798,32083,24061,20546,28609,4835,27992,56601,31505,63588
԰ֵ,XiLuoYuanJieDao,110106003,65582,12771,42535,32295,40716,41222,5077,39549,80771,40895,83430
Žֵ,DaHongMenJieDao,110106004,161343,15444,95623,72962,53994,90903,16595,90219,181122,97759,193382
Էֵ,NanYuanJieDao,110106005,39191,3910,23684,18118,19323,21801,4975,21111,42912,24392,48076
ߵؽֵ,DongGaoDiJieDao,110106006,30257,11022,22141,16926,32168,21207,3633,20633,41840,22771,44912
Ӫֵ,DongTieJiangYingJieDao,110106007,118826,16147,73113,56696,61533,67972,9921,65638,133610,71781,144894
¬Žֵ,LuGouQiaoJieDao,110106008,149614,14326,89860,69666,53020,84153,17726,82450,166603,91806,181666
ֵ̨,FengTaiJieDao,110106009,115172,16095,71435,51516,79575,67365,12918,62048,129413,72750,144185
´ֵ,XinCunJieDao,110106010,132965,10925,78994,53862,49683,67220,15467,66926,134146,80363,159357
ֵ,ChangXinDianJieDao,110106011,61851,11733,40079,30133,53961,38363,7055,36476,74839,40560,80639
Ƹڽֵ,YunGangJieDao,110106012,23312,6337,16147,12367,24842,15627,3062,15329,30956,16564,32711
ׯ´,FangZhuangDiQuBanShiChu,110106013,66371,11090,42251,33665,32547,38663,5993,36491,75154,41203,83454
ƽǵ´,WanPingChengDiQuBanShiChu,110106014,40710,2987,22795,18546,15653,21788,5483,23306,45094,26385,49180
ұֵ,MaJiaBaoJieDao,110106015,99308,10632,60396,47357,37316,57679,9655,55950,113629,59199,119595
ֵ,HeYiJieDao,110106016,33383,3900,20138,14525,14457,18763,3194,18325,37088,20339,40477
,ChangXinDianZhen,110106100,39748,3168,22567,16926,27784,21716,5070,22719,44435,25419,47986
,WangZuoZhen,110106101,44029,3703,25510,16820,31303,24178,6076,24803,48981,28298,53808
¬,LuGouQiaoXiang,110106201,149541,6899,80901,63592,50137,71643,17250,75914,147557,92789,173690
,HuaXiang,110106202,122218,6332,66344,52738,43086,61238,14491,66306,127544,76697,143041
Է,NanYuanXiang,110106203,125456,4216,64670,60195,30813,56667,10483,63050,119717,75485,140155
˱ɽֵ,BaBaoShanJieDao,110107001,42946,4969,26651,20187,17876,25083,5691,24330,49413,26955,53606
ɽֵ,LaoShanJieDao,110107002,33510,5628,20882,14930,21418,19533,3468,19533,39066,21724,42606
˽ǽֵ,BaJiaoJieDao,110107003,95740,11676,56255,38513,51516,47519,9000,46369,93888,60161,116416
ųǽֵ,GuChengJieDao,110107004,49113,5914,26685,20299,27072,24383,4756,24836,49219,33098,59783
ƻ԰ֵ,PingGuoYuanJieDao,110107005,82862,9119,51384,38355,45059,48273,9794,46271,94544,50391,101775
𶥽ֵֽ,JinDingJieJieDao,110107006,61270,8694,38552,26915,45644,37076,5772,35968,73044,37184,75736
ֵ,GuangNingJieDao,110107009,13831,1792,8171,6589,9115,7838,1772,7913,15751,9224,17395
ֵ,WuLiTuoJieDao,110107010,25193,2089,14561,9301,12659,12203,3180,11137,23340,15901,30462
³Ƚֵ,LuGuJieDao,110107011,78497,7642,46571,36597,32410,43783,9316,43901,87684,48884,95455
׸Ǩ,ShouGangQianAnKuangQu,110107400,18361,1988,10133,8221,6040,9940,2500,10268,20208,12716,22849
·ֵ,WanShouLuJieDao,110108001,131857,22079,90894,54763,117002,80416,18520,70231,150647,81562,172456
·ֵ,YongDingLuJieDao,110108002,38097,7825,22916,11999,31538,16821,3424,16628,33449,26430,49346
򷻵ֵ,YangFangDianJieDao,110108003,98815,17212,65493,45509,73717,59673,11107,52860,112533,61641,127134
ʼҿڽֵ,GanJiaKouJieDao,110108004,93034,16275,60834,37031,71091,49368,9146,46120,95488,57621,118455
ׯֵ,BaLiZhuangJieDao,110108005,112242,12592,69873,44135,63360,53938,11150,51768,105706,66111,135984
Ժֵ,ZiZhuYuanJieDao,110108006,117302,13506,73023,33784,91094,42778,7603,40209,82987,65388,138411
¹ؽֵ,BeiXiaGuanJieDao,110108007,132139,16298,77274,41893,97757,53388,10339,50775,104163,81502,158776
̫ƽׯֵ,BeiTaiPingZhuangJieDao,110108008,174120,16631,99561,51113,106344,62105,10863,59652,121757,102053,201614
ѧԺ·ֵ,XueYuanLuJieDao,110108010,212764,17448,118013,53657,131975,65238,13095,64171,129409,125294,243307
йشֵ,ZhongGuanCunJieDao,110108011,130621,15505,75788,39409,78197,52678,13511,51553,104231,83849,159637
ֵ,HaiDianJieDao,110108012,124436,10155,68269,34941,76772,43797,10109,41318,85115,76431,144700
Žֵ,QingLongQiaoJieDao,110108013,110902,8852,61082,49773,54403,49524,9133,50970,100494,67805,128887
廪԰ֵ,QingHuaYuanJieDao,110108014,43914,5354,21243,9275,36305,12180,2517,11912,24092,30542,51785
԰ֵ,YanYuanJieDao,110108015,33431,2707,16737,5742,23242,6925,1410,6650,13575,20811,37548
ɽֵ,XiangShanJieDao,110108016,24617,2110,13877,11510,9953,10715,1808,10521,21236,14658,28535
ӽֵ,QingHeJieDao,110108017,115126,9040,67403,46439,46086,57512,15586,56226,113738,72349,139752
԰·ֵ,HuaYuanLuJieDao,110108018,121716,17386,71904,43142,83619,54806,9727,49390,104196,76925,148829
ֵ,XiSanQiJieDao,110108019,120368,10614,70429,47924,49611,58795,13144,57979,116774,73697,144126
ݽֵ,MaLianWaJieDao,110108020,90730,6520,51455,41726,34616,42793,9335,44283,87076,55130,106585
·ֵ,TianCunLuJieDao,110108021,88337,7941,53035,42503,35555,49947,10466,48346,98293,53709,106744
ϵؽֵ,ShangDiJieDao,110108022,92783,3195,44312,30287,22421,27987,6127,30151,58138,57793,102105
´,WanLiuDiQuBanShiChu,110108023,25816,599,11929,12556,4092,10188,1647,12481,22669,16133,28062
´,DongShengDiQuBanShiChu,110108024,42358,2336,23300,15403,12055,18451,5158,19581,38032,26552,49852
ֵ,ShuGuangJieDao,110108025,84769,7258,51430,30306,38957,40361,10370,36961,77322,50967,102397
Ȫ,WenQuanZhen,110108101,40537,5060,23578,16617,20521,20974,5203,21542,42516,27222,50800
ļ,SiJiQingZhen,110108102,151496,7688,76738,51435,44608,54039,11395,55352,109391,93841,170579
,XiBeiWangZhen,110108103,125635,4559,62560,45980,28241,47717,12470,52668,100385,80104,142664
ռ,SuJiaTuoZhen,110108104,37743,4611,22476,13820,28491,19793,4432,19603,39396,24310,46786
ׯ,ShangZhuangZhen,110108105,36869,3706,20719,13704,19374,17958,4239,18464,36422,24095,44814
ֵ,DaYuJieDao,110109001,62723,9509,40769,28945,45303,40099,8181,38438,78537,39644,80413
ӽֵ,ChengZiJieDao,110109002,27156,4067,17517,12587,19316,17326,3332,16645,33971,17038,34555
ֵ,DongXinFangJieDao,110109003,21172,3494,13723,9916,19684,13592,2669,13206,26798,13612,27335
ֵ̨,DaTaiJieDao,110109004,9127,1046,4749,4452,5231,4674,1123,5382,10056,6547,11296
ƽ´,WangPingDiQuBanShiChu,110109005,4772,1247,3168,2851,4995,3129,494,3088,6217,3345,6513
̶,TanZheSiZhen,110109101,6817,908,4161,3310,7452,4137,947,4170,8307,4511,8672
,YongDingZhen,110109102,34503,3132,20061,14118,23370,19291,4811,19421,38712,22385,42446
Ȫ,LongQuanZhen,110109103,26149,2267,15940,12158,17365,15720,3733,15630,31350,16209,32149
ׯ,JunZhuangZhen,110109104,9980,1335,6035,4460,9142,5975,1201,5921,11896,6481,12516
,YanChiZhen,110109105,4991,1135,3069,2678,5828,3053,461,3257,6310,3518,6587
ի,ZhaiTangZhen,110109106,8398,1435,5239,4417,9702,5206,984,5370,10576,5578,10817
ˮ,QingShuiZhen,110109107,5888,1256,3727,3488,7057,3687,762,4055,7742,4179,7906
ɽ,MiaoFengShanZhen,110109108,7222,1174,4533,3629,8074,4480,875,4504,8984,4738,9271
ǹؽֵ,ChengGuanJieDao,110111001,76654,7661,47250,33415,58404,46157,11928,45718,91875,48993,96243
ֵ,XinZhenJieDao,110111002,5993,2172,4230,4017,5637,4131,677,4241,8372,4612,8842
ֵ,XiangYangJieDao,110111004,6889,811,4297,3431,5629,4045,869,3787,7832,4272,8569
ֵ,DongFengJieDao,110111005,19652,2270,11663,9516,16877,11551,2399,11580,23131,12658,24321
ӭֵ,YingFengJieDao,110111006,24736,3205,15743,12583,22782,14969,3352,14681,29650,15550,31293
ǳǽֵ,XingChengJieDao,110111007,17053,3353,11041,8604,19417,10966,1455,10744,21710,10820,21861
´,LiangXiangDiQuBanShiChu,110111008,15288,1575,9035,5266,13076,8333,2115,8460,16793,9943,18978
ܿڵ´,ZhouKouDianDiQuBanShiChu,110111009,34668,3628,20699,13718,30661,20187,4544,20268,40455,22141,42840
ӵ´,LiuLiHeDiQuBanShiChu,110111010,47560,6738,29777,19436,50142,28295,5633,28480,56775,30154,59931
ֵ,GongChenJieDao,110111011,109411,9244,64554,43343,57611,55008,13665,53287,108295,67766,132320
ºֵ,XiLuJieDao,110111012,51256,4225,32458,21905,27573,31575,9276,30554,62129,32299,64757
ִ,YanCunZhen,110111101,39469,3265,23013,15476,27124,21992,6039,22582,44574,25760,48773
,DouDianZhen,110111103,54236,5310,31937,18296,33901,25574,6028,25523,51097,33637,65574
ʯ¥,ShiLouZhen,110111104,23192,2654,14137,8905,24858,13866,3056,14032,27898,14765,28902
,ChangYangZhen,110111105,54590,3550,29127,17933,26351,24967,6856,25479,50446,35869,64996
ӱ,HeBeiZhen,110111107,15415,2395,9922,7564,16887,9817,2067,9712,19529,9955,19877
,ChangGouZhen,110111108,19232,2161,11794,7048,21718,11706,2398,11785,23491,11997,23791
ʯ,DaShiWoZhen,110111109,24311,3409,15418,10915,28386,15278,3419,15319,30597,15721,31139
ŷ,ZhangFangZhen,110111110,14493,2099,9174,6486,16803,9088,1854,9045,18133,9272,18446
ʮ,ShiDuZhen,110111111,7423,1426,4885,4096,8463,4720,929,4686,9406,4893,9778
,QingLongHuZhen,110111112,36255,3753,21374,14486,34958,20723,4590,21213,41936,23224,44598
,HanCunHeZhen,110111115,31485,3510,19279,11467,35021,19001,4215,19251,38252,19931,39210
ϼ,XiaYunLingXiang,110111208,5268,1115,3477,2905,6753,3460,757,3550,7010,3663,7140
Ͻ,NanJiaoXiang,110111209,2811,486,1844,1627,3493,1842,442,1846,3688,1895,3739
ׯ,FoZiZhuangXiang,110111210,6659,1195,4429,3708,8053,4372,1071,4332,8704,4496,8925
ɽ,DaAnShanXiang,110111211,9001,677,4444,4031,5792,4373,1539,5067,9440,6773,11217
ʷӪ,ShiJiaYingXiang,110111212,4892,611,2887,2621,5671,2870,797,3233,6103,3413,6300
,PuWaXiang,110111213,1652,589,1231,1214,2351,1231,231,1238,2469,1241,2472
вֵֽ,ZhongCangJieDao,110112001,46530,5858,28683,21695,28724,27120,5162,26171,53291,28867,57550
»ֵ,XinHuaJieDao,110112002,7041,1033,4524,3447,5527,4425,817,4269,8694,4367,8891
Էֵ,BeiYuanJieDao,110112003,59647,6415,37227,28080,24926,34141,7361,32526,66667,36196,73423
Žֵ,YuQiaoJieDao,110112004,52470,4537,32292,24220,24178,31181,7475,30029,61210,32190,64482
˳´,YongShunDiQuBanShiChu,110112005,163482,13014,97366,72017,48221,85964,18698,85486,171450,97828,195194
԰´,LiYuanDiQuBanShiChu,110112006,116295,8619,69945,56030,38171,65943,15606,65483,131426,70575,140520
ׯ,SongZhuangZhen,110112104,87513,7904,48317,31530,55907,42144,8726,43844,85988,55826,104143
ż,ZhangJiaWanZhen,110112105,74969,7361,43114,32709,52732,40328,6943,40618,80946,46159,89273
t,KuoXianZhen,110112106,49596,6524,29338,22582,46020,28172,5293,29067,57239,32075,61413
,MaJuQiaoZhen,110112109,94757,5476,50028,33363,40842,36480,6815,38404,74884,57020,107048
,XiJiZhen,110112110,34560,5475,21101,14436,36548,20623,3209,20498,41121,22143,43244
̨,TaiHuZhen,110112114,85552,5435,44483,31629,42922,36183,8052,38939,75122,54556,99039
ֵ,YongLeDianZhen,110112117,31890,4752,19730,13568,34857,19306,3599,19450,38756,20511,40241
º,LuChengZhen,110112119,59673,6188,34671,25553,36453,32430,6750,33407,65837,37940,72611
ڼ,YuJiaWuHuiZuXiang,110112209,22082,2787,12904,8250,21421,12227,2315,12680,24907,14280,27184
ʤֵ,ShengLiJieDao,110113001,27512,3483,17811,13122,14115,16897,3863,15719,32616,17047,34858
ֵ,GuangMingJieDao,110113002,44151,3651,27673,19386,19541,26262,6929,24964,51226,27058,54731
ʺ͵´,RenHeDiQuBanShiChu,110113003,41950,2761,22372,17514,15700,20123,4293,21794,41917,26632,49004
ɳ´,HouShaYuDiQuBanShiChu,110113004,34898,1918,18764,15627,12279,17117,3977,18582,35699,22029,40793
õ´,TianZhuDiQuBanShiChu,110113005,29377,1412,16373,11442,6881,12626,2553,13540,26166,16969,33342
´,YangZhenDiQuBanShiChu,110113006,43815,5709,27095,16570,39492,25111,4882,25424,50535,27311,54406
ţɽ´,NiuLanShanDiQuBanShiChu,110113007,30287,2834,16782,9812,21461,13561,2668,13748,27309,19007,35789
Ϸŵ´,NanFaXinDiQuBanShiChu,110113008,22592,891,11546,9980,5560,10411,2670,12242,22653,14607,26153
µ´,MaPoDiQuBanShiChu,110113009,9141,799,4792,3169,5506,4289,910,4574,8863,6058,10850
ʯ԰ֵ,ShiYuanJieDao,110113010,39023,3731,24049,16641,13644,22950,5777,21993,44943,24482,48531
ո۽ֵ,KongGangJieDao,110113011,36498,2924,21348,14948,11660,18652,4392,18515,37167,22466,43814
˫ֵ,ShuangFengJieDao,110113012,19903,1318,11591,6154,7137,7715,1654,7980,15695,11284,22875
Ȫֵ,WangQuanJieDao,110113013,36697,2388,21374,14817,12087,20622,5300,20282,40904,23011,44385
Ӫ,GaoLiYingZhen,110113101,37546,2798,20521,16447,20526,19437,4117,21031,40468,23940,44461
,LiQiaoZhen,110113104,58938,4927,32945,24582,31361,30041,5965,31659,61700,36885,69830
,LiSuiZhen,110113105,16144,2267,9857,6081,16122,9510,1635,9493,19003,10189,20046
ϲ,NanCaiZhen,110113106,42276,3996,24000,18088,30481,23318,4367,24857,48175,26639,50639
,BeiWuZhen,110113108,9057,1354,5459,3737,8293,5245,1002,5369,10614,5954,11413
ׯ,DaSunGeZhuangZhen,110113109,18866,3273,11990,7807,20707,11552,2084,11723,23275,12233,24223
,ZhangZhen,110113110,18886,2588,11398,7300,18174,10910,2162,11268,22178,12238,23636
,LongWanTunZhen,110113111,12207,1893,7603,4890,12972,7385,1357,7484,14869,7854,15457
ľ,MuLinZhen,110113112,26514,4026,16242,10928,27612,16052,3017,16650,32702,17315,33557
СӪ,BeiXiaoYingZhen,110113113,30863,3475,18187,11508,28047,17574,3621,18136,35710,19772,37959
ʯ,BeiShiCaoZhen,110113115,12418,1838,7388,4494,11343,6624,1130,6752,13376,7998,15386
ȫӪ,ZhaoQuanYingZhen,110113116,24760,3178,14255,9570,19959,13400,2544,13889,27289,16227,30482
Ǳֵ,ChengBeiJieDao,110114001,157952,11855,91490,56566,83097,72181,17421,69032,141213,95738,187228
Ͽڵ´,NanKouDiQuBanShiChu,110114002,56546,5750,32141,20734,36655,26522,5515,26207,52729,35670,67811
ؿڵ´,MaChiKouDiQuBanShiChu,110114003,64171,3642,32939,18197,28059,23818,6092,25365,49183,40966,73905
ɳӵ´,ShaHeDiQuBanShiChu,110114004,99172,4676,48942,25015,32482,30111,6960,31403,61514,61866,110808
Ͻֵ,ChengNanJieDao,110114005,49074,2656,27594,17733,14485,21896,6397,22790,44686,30533,58127
۵´,HuiLongGuanDiQuBanShiChu,110114006,261109,16170,142884,100572,44707,114627,29032,118065,232692,163427,306311
Сڵ´,DongXiaoKouDiQuBanShiChu,110114007,307687,20625,174608,120881,36820,143771,31103,146732,290503,184807,359415
,YangFangZhen,110114104,19205,1853,11514,7336,13126,10368,2643,9877,20245,12187,23701
Сɽ,XiaoTangShanZhen,110114110,46333,4836,25923,17369,24074,21766,4568,22345,44111,29814,55737
,NanShaoZhen,110114111,19850,1634,11211,6929,13096,10191,2696,10213,20404,12969,24180
޴,CuiCunZhen,110114112,17476,1947,9446,5924,11578,8077,1896,8225,16302,11873,21319
,BaiShanZhen,110114113,18045,1672,9905,6047,11853,8607,1945,8835,17442,11757,21662
߼,BeiQiJiaZhen,110114115,239826,9597,110928,67955,28180,69107,13900,74142,143249,152395,263323
,XingShouZhen,110114116,26599,3660,15577,10345,23719,14295,2880,14655,28950,17562,33139
,ChangLingZhen,110114117,11620,1968,7301,4732,12963,6966,1436,7247,14213,7723,15024
,LiuCunZhen,110114118,13831,2381,8367,5886,14593,7929,1688,8556,16485,9533,17900
ʮ,ShiSanLingZhen,110114119,17484,1856,10425,4646,11940,7192,1571,7180,14372,10486,20911
˷ֵ,XingFengJieDao,110115001,47395,4409,25558,17075,23560,22991,5674,22094,45085,31920,57478
У·ֵ,LinXiaoLuJieDao,110115002,40337,4424,25903,17136,21462,23818,6156,23007,46825,25014,50917
Դֵ,QingYuanJieDao,110115003,83441,7639,50584,31847,30205,43358,11322,41636,84994,51818,102402
ׯ´,YiZhuangDiQuBanShiChu,110115004,46293,3823,26230,16600,22820,22347,5202,21821,44168,29088,55318
ƴ´,HuangCunDiQuBanShiChu,110115005,144834,5712,74233,57664,44674,64625,17898,72791,137416,94211,168444
ɹ´,JiuGongDiQuBanShiChu,110115006,168494,9767,89976,73345,24043,75400,15324,80595,155995,103609,193585
ŵ´,XiHongMenDiQuBanShiChu,110115007,124640,4925,61753,46743,19840,48011,11790,54478,102489,79602,141355
孺´,YingHaiDiQuBanShiChu,110115008,42847,2293,21963,14222,17657,17908,4472,19040,36948,27649,49612
½ֵ,GuanYinSiJieDao,110115009,60704,5329,33136,23684,18555,28984,7028,29536,58520,39925,73061
칬Ժֵ,TianGongYuanJieDao,110115010,18418,1721,9695,6641,6671,8359,2294,8287,16646,12738,22433
Ƶ,QingYunDianZhen,110115103,58998,3742,31871,18779,31312,25929,6417,27707,53636,37286,69157
,CaiYuZhen,110115104,28026,3193,15531,10375,26850,14905,2854,15268,30173,18542,34073
,AnDingZhen,110115105,23933,2842,14529,8509,26361,14273,3188,14684,28957,15434,29963
,LiXianZhen,110115106,25729,3492,16419,10475,28385,16293,4126,16446,32739,16928,33347
,YuFaZhen,110115107,45871,4790,28093,14262,40008,23136,5341,23100,46236,27909,56002
Ӹׯ,PangGeZhuangZhen,110115108,37652,3821,22466,13849,36056,21152,5159,22135,43287,24166,46632
갴,BeiZangCunZhen,110115109,26614,1721,13845,9767,15162,12124,3189,12969,25093,17679,31524
κׯ,WeiShanZhuangZhen,110115110,36410,3223,19554,12065,27648,18070,4079,19089,37159,24158,43712
Ӫ,ZhangZiYingZhen,110115111,27168,2703,15129,10322,23390,14506,3114,15615,30121,17856,32985
